Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
2023-08-08 08-15-11 M 1_3_crop1_buf100.JPG,Tortoise,Walking,Sunlight,NA,NA,NA
2023-08-12 13-19-06 M 3_3_crop1_buf100.JPG,Tortoise,Foraging,Shade,Grass,Trunk,Ground
2023-08-20 07-46-06 M 1_3_crop1_buf100.JPG,Tortoise,Walking,Sunlight,NA,NA,Ground
SANTA FE 1001/2023-07-28 09-55-00 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 09-57-00 M 3_3_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 12-02-40 M 1_3_crop1.JPG,Iguana,Foraging,Shade,NA,NA,NA,False
SANTA FE 1001/2023-07-28 12-03-40 M 2_3_crop1.JPG,Iguana,Walking,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 12-57-15 M 1_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 12-58-15 M 2_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 12-59-15 M 3_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-07-28 14-18-23 M 3_3_crop1.JPG,Iguana,Walking,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-07-30 09-49-02 M 3_3_crop1.JPG,Iguana,Foraging,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-07-30 13-44-38 M 3_3_crop1.JPG,Iguana,Unknown,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-07-31 10-33-09 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-01 09-55-23 M 2_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-01 10-32-21 M 2_3_crop1.JPG,Iguana,Resting_elevated,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-01 10-33-21 M 3_3_crop1.JPG,Iguana,Resting_elevated,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-01 12-07-56 M 1_3_crop1.JPG,Iguana,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-01 12-08-56 M 2_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-01 12-33-29 M 2_3_crop1.JPG,Iguana,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-01 13-26-42 M 1_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-01 13-27-42 M 2_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-03 12-03-34 M 2_3_crop1.JPG,Iguana,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-03 12-28-21 M 1_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-03 12-29-21 M 2_3_crop1.JPG,Iguana,Territorial_displaying,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-23-09 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-34-49 M 1_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-35-49 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-36-49 M 3_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-47-06 M 1_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 12-48-06 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 13-13-53 M 1_3_crop1.JPG,Tortoise,Foraging,Sunlight,NA,NA,Plant,False
SANTA FE 1001/2023-08-04 13-38-22 M 1_3_crop1.JPG,Tortoise,Resting_elevated,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-02-46 M 1_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-03-46 M 2_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-04-46 M 3_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-15-29 M 1_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-16-29 M 2_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 14-17-29 M 3_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-04 16-46-32 M 1_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,NA,Plant,False
