Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
cropped/SANTA FE 905/2023-08-28 13-10-18 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-11-03 12-12-29 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Unknown,NA,Ground,False
cropped/SANTA FE 976/2023-10-20 07-38-36 M 1_3_crop2.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-08-20 13-54-47 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX2592_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-04-26 08-10-36 M 1_3_crop1.JPG,Tortoise,Unknown,Unknown,Unknown,NA,Ground,False
cropped/SANTA FE 983/DCIM/101RECNX/RCNX1974_crop1.JPG,Iguana,Resting_ground,Unknown,Grass,NA,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX3811_crop1.JPG,Iguana,Unknown,Unknown,Grass,NA,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX2950_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2024-01-07 10-49-37 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-08-09 12-54-03 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-05-10 14-01-41 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-04-20 17-22-07 M 2_3_crop1.JPG,Iguana,Foraging,Sunlight,Grass,NA,Ground,False
cropped/SANTA FE 905/2023-07-26 13-56-02 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-12-19 06-32-30 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX3496_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
cropped/SANTA FE 905/2023-07-30 13-30-38 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
